canonical_name,category,subcategory,tier_group,aliases,source_field_hints,canonical_url,description,is_positive,is_active
AAAI,publication,ai_ml,tier_2,aaai;association for the advancement of artificial intelligence,education_description;experience_description;about;activities_honors,https://aaai.org,Broad AI conference,true,true
ACL,publication,nlp,tier_3,acl;association for computational linguistics,education_description;experience_description;about;activities_honors,https://www.aclweb.org,Top NLP conference,true,true
ASPLOS,publication,systems,tier_3,asplos;architectural support for programming languages,education_description;experience_description;about;activities_honors,https://www.asplos-conference.org,Architecture + systems crossover,true,true
CCS,publication,security,tier_3,ccs;acm ccs;computer and communications security,education_description;experience_description;about;activities_honors,https://www.sigsac.org/ccs,Top security conference,true,true
Cell,publication,journal,tier_3,cell;cell journal,education_description;experience_description;about;activities_honors,https://www.cell.com,Top life sciences journal,true,true
CHI,publication,hci,tier_3,chi;sigchi;conference on human factors,education_description;experience_description;about;activities_honors,https://chi.acm.org,Top HCI conference,true,true
CICC,publication,hardware,tier_3,cicc;custom integrated circuits conference,education_description;experience_description;about;activities_honors,https://www.cicc.ieee.org,Top custom IC design conference,true,true
Communications of the ACM,publication,journal,tier_2,cacm;communications of the acm,education_description;experience_description;about;activities_honors,https://cacm.acm.org,CS recognition,true,true
CoRL,publication,robotics,tier_3,corl;conference on robot learning,education_description;experience_description;about;activities_honors,https://corl.org,Robotics + ML; fast-rising,true,true
CRYPTO,publication,security,tier_3,crypto;international cryptology conference,education_description;experience_description;about;activities_honors,https://www.iacr.org/conferences/crypto,Top cryptography conference,true,true
CVPR,publication,vision,tier_3,cvpr;computer vision and pattern recognition,education_description;experience_description;about;activities_honors,https://cvpr.thecvf.com,Top computer vision conference,true,true
DAC,publication,hardware,tier_3,dac;design automation conference,education_description;experience_description;about;activities_honors,https://www.dac.com,Top design automation conference,true,true
ECCV,publication,vision,tier_3,eccv;european conference on computer vision,education_description;experience_description;about;activities_honors,https://eccv2024.ecva.net,Top European vision venue,true,true
EMNLP,publication,nlp,tier_3,emnlp;empirical methods in natural language processing,education_description;experience_description;about;activities_honors,https://2024.emnlp.org,Top applied NLP conference,true,true
Has Conference Publication,publication,publication,tier_2,published at;paper accepted;first author;corresponding author,education_description;experience_description;about,"",Has published research at a notable conference (use conference dictionary for venue tier),true,true
Hot Chips,publication,hardware,tier_3,hot chips;hotchips,education_description;experience_description;about;activities_honors,https://hotchips.org,Industry + academia hardware showcase,true,true
HPCA,publication,architecture,tier_3,hpca;high performance computer architecture,education_description;experience_description;about;activities_honors,https://hpca-conf.org,Top high-perf architecture conference,true,true
ICCV,publication,vision,tier_3,iccv;international conference on computer vision,education_description;experience_description;about;activities_honors,https://iccv.thecvf.com,Top computer vision conference,true,true
ICDE,publication,databases,tier_2,icde;international conference on data engineering,education_description;experience_description;about;activities_honors,https://icde2024.github.io,Data engineering conference,true,true
ICLR,publication,ai_ml,tier_3,iclr;international conference on learning representations,education_description;experience_description;about;activities_honors,https://iclr.cc,Top deep learning conference,true,true
ICML,publication,ai_ml,tier_3,icml;international conference on machine learning,education_description;experience_description;about;activities_honors,https://icml.cc,Top ML theory + applied conference,true,true
ICRA,publication,robotics,tier_3,icra;international conference on robotics and automation,education_description;experience_description;about;activities_honors,https://www.icra2024.org,Largest broad robotics conference,true,true
IEEE S&P,publication,security,tier_3,ieee s&p;oakland;ieee security and privacy,education_description;experience_description;about;activities_honors,https://www.ieee-security.org/TC/SP,Top security conference (aka Oakland),true,true
IJCAI,publication,ai_ml,tier_2,ijcai;international joint conference on artificial intelligence,education_description;experience_description;about;activities_honors,https://www.ijcai.org,International AI conference,true,true
IROS,publication,robotics,tier_3,iros;intelligent robots and systems,education_description;experience_description;about;activities_honors,https://iros2024-abudhabi.org,Industry-heavy robotics conference,true,true
ISCA,publication,architecture,tier_3,isca;international symposium on computer architecture,education_description;experience_description;about;activities_honors,https://iscaconf.org,Top computer architecture conference,true,true
ISMB,publication,bio,tier_3,ismb;intelligent systems for molecular biology,education_description;experience_description;about;activities_honors,https://www.iscb.org,Top computational biology venue,true,true
ISSCC,publication,hardware,tier_3,isscc;international solid state circuits,education_description;experience_description;about;activities_honors,https://www.isscc.org,Top circuits conference (Chip Olympics),true,true
JMLR,publication,journal,tier_3,jmlr;journal of machine learning research,education_description;experience_description;about;activities_honors,https://jmlr.org,ML journal gold standard,true,true
KDD,publication,databases,tier_2,kdd;acm sigkdd,education_description;experience_description;about;activities_honors,https://www.kdd.org,Data mining + industry crossover,true,true
MICRO,publication,architecture,tier_3,micro;international symposium on microarchitecture,education_description;experience_description;about;activities_honors,https://www.microarch.org,Top computer architecture conference,true,true
MLSys,publication,ai_ml,tier_3,mlsys;mlsys conference;machine learning systems,education_description;experience_description;about;activities_honors,https://mlsys.org,ML systems venue; fast-rising; production ML signal,true,true
NAACL,publication,nlp,tier_2,naacl;north american chapter of the acl,education_description;experience_description;about;activities_honors,https://naacl.org,Strong regional NLP conference,true,true
Nature,publication,journal,tier_3,nature;nature journal,education_description;experience_description;about;activities_honors,https://www.nature.com,Top general science journal,true,true
Nature Biotechnology,publication,journal,tier_3,nature biotechnology;nature biotech,education_description;experience_description;about;activities_honors,https://www.nature.com/nbt,Industry-impact biotech journal,true,true
NDSS,publication,security,tier_2,ndss;network and distributed system security,education_description;experience_description;about;activities_honors,https://www.ndss-symposium.org,Network security conference,true,true
NeurIPS,publication,ai_ml,tier_3,neurips;nips;neural information processing systems,education_description;experience_description;about;activities_honors,https://neurips.cc,Top global ML conference,true,true
NSDI,publication,systems,tier_3,nsdi;networked systems design and implementation,education_description;experience_description;about;activities_honors,https://www.usenix.org/conferences/nsdi,Top distributed systems conference,true,true
OSDI,publication,systems,tier_3,osdi;operating systems design and implementation,education_description;experience_description;about;activities_honors,https://www.usenix.org/conferences/osdi,Top OS systems conference,true,true
PNAS,publication,journal,tier_3,pnas;proceedings of the national academy of sciences,education_description;experience_description;about;activities_honors,https://www.pnas.org,Broad elite research journal,true,true
RECOMB,publication,bio,tier_3,recomb;research in computational molecular biology,education_description;experience_description;about;activities_honors,https://www.recomb.org,Computational biology theory,true,true
RSS,publication,robotics,tier_3,rss;robotics science and systems,education_description;experience_description;about;activities_honors,https://roboticsconference.org,Very selective robotics conference,true,true
Science,publication,journal,tier_3,science;science journal;science magazine,education_description;experience_description;about;activities_honors,https://www.science.org,Top general science journal,true,true
SIGCOMM,publication,systems,tier_3,sigcomm,education_description;experience_description;about;activities_honors,https://www.sigcomm.org,Top networking conference,true,true
SIGMOD,publication,databases,tier_3,sigmod;acm sigmod,education_description;experience_description;about;activities_honors,https://sigmod.org,Top database conference,true,true
SOSP,publication,systems,tier_3,sosp;symposium on operating systems principles,education_description;experience_description;about;activities_honors,https://sosp.org,Top OS conference,true,true
UIST,publication,hci,tier_3,uist;user interface software and technology,education_description;experience_description;about;activities_honors,https://uist.acm.org,Elite interface research conference,true,true
USENIX Security,publication,security,tier_3,usenix security;usenix security symposium,education_description;experience_description;about;activities_honors,https://www.usenix.org/conferences,Top applied security conference,true,true
VLDB,publication,databases,tier_3,vldb;very large data bases,education_description;experience_description;about;activities_honors,https://vldb.org,Top database conference,true,true
VLSI Symposium,publication,hardware,tier_3,vlsi symposium;symposium on vlsi,education_description;experience_description;about;activities_honors,https://www.vlsisymposium.org,Elite semiconductor conference,true,true
